date,location,action_item,status
2026-05-11,Freewheel Bike (Eden Prairie),Get floor employee's name and LinkedIn — ask him to intro us to Eric Lynn via message on the spot,open
2026-05-11,Freewheel Bike (Eden Prairie),Return when regional director is in (2–3 days/week) — ask about ordering decisions and margin pain,open
2026-05-11,South Lake Bicycle (Excelsior),Ask Aaron for intro to Dan (owner) — Dan is in Wed–Fri + Saturdays,open
2026-05-11,South Lake Bicycle (Excelsior),"Return question for Dan: 'Walk me through what happened the last time you hit that net 180 deadline and hadn't sold through'",open
2026-05-17,Mackenthun's Meats (Waconia),Return visit with Big 3 goals defined in advance,open
2026-05-17,Mackenthun's Meats (Waconia),Identify whether the manager owns pricing/ordering decisions or if there's an owner to find,open
2026-05-17,Mackenthun's Meats (Waconia),"Follow-up anchor: 'Tell me about the last time your margin on something really got squeezed — what did you actually do?'",open
2026-05-17,Mackenthun's Meats (Waconia),Get the manager's name and confirm they're the right person to keep talking to,open
2026-05-17,Lucas-Marley conversation,Identify one admin task to automate for Fritz (FCR Window Cleaning) as the wedge entry point,open
2026-05-17,Lucas-Marley conversation,Document Marley's Squeaky Clean Boat Services workflow as a reusable template for other small businesses,open
2026-05-18,Lucas-Marley conversation,Reach out to Jacob Sims (mentor — 97 car washes via PE) to set up a visit Wed or Thu this week,open
2026-05-18,Lucas-Marley conversation,Ask Ramp contacts already connected about what they're seeing — wins/losses/patterns,open
2026-05-18,Lucas-Marley conversation,"Test the PE value prop framing with a small business owner: 'This is what a PE firm would do when they buy you — get ahead of it now'",open
2026-05-18,Marley,Build a small recruitment app for Dad — explore use case and scope before starting,open
2026-05-18,Something Safari (Excelsior),Return with clean 5-part opener and prepared Big 3 goals — establish whether person spoken to is owner or staff before continuing,open
2026-05-18,Something Safari (Excelsior),"Follow-up anchor: 'Walk me through what happens to your cash position at the end of a season where you've over-ordered — how does it play out?'",open
2026-05-22,Marley,"Find and talk to another multi-location CNP operator (vending / parking / car wash chain other than Jacob) — ask specifically about payment processing pain before mentioning any idea. Goal: confirm whether the WorldPay API / CNP infrastructure problem is a pattern or just Jacob's specific situation.",open
